t              SphereRCS.fdtd_Point probe_Ex_15_15_4.dat       incid
   0.17810105348847749E-007   0.285759363E-001   0.000000000E+000
   0.17840918679901119E-007   0.497681201E-001   0.000000000E+000
   0.17871732010954489E-007   0.666888356E-001   0.000000000E+000
   0.17902545342007858E-007   0.780879334E-001   0.000000000E+000
   0.17933358673061228E-007   0.832001939E-001   0.000000000E+000
   0.17964172004114598E-007   0.817856416E-001   0.000000000E+000
   0.17994985335167968E-007   0.741239339E-001   0.000000000E+000
   0.18025798666221338E-007   0.609669201E-001   0.000000000E+000
   0.18056611997274707E-007   0.434567258E-001   0.000000000E+000
   0.18087425328328077E-007   0.230191592E-001   0.000000000E+000
   0.18118238659381447E-007   0.124333426E-002   0.000000000E+000
   0.18149051990434817E-007  -0.202418808E-001   0.000000000E+000
   0.18179865321488187E-007  -0.398849808E-001   0.000000000E+000
   0.18210678652541556E-007  -0.563148335E-001   0.000000000E+000
   0.18241491983594926E-007  -0.684242100E-001   0.000000000E+000
   0.18272305314648296E-007  -0.754306242E-001   0.000000000E+000
   0.18303118645701666E-007  -0.769134015E-001   0.000000000E+000
   0.18333931976755036E-007  -0.728274360E-001   0.000000000E+000
   0.18364745307808406E-007  -0.634951815E-001   0.000000000E+000
   0.18395558638861775E-007  -0.495790690E-001   0.000000000E+000
   0.18426371969915145E-007  -0.320366919E-001   0.000000000E+000
   0.18457185300968515E-007  -0.120612588E-001   0.000000000E+000
   0.18487998632021885E-007   0.899026915E-002   0.000000000E+000
   0.18518811963075255E-007   0.296786707E-001   0.000000000E+000
   0.18549625294128624E-007   0.485705882E-001   0.000000000E+000
   0.18580438625181994E-007   0.643296167E-001   0.000000000E+000
   0.18611251956235364E-007   0.758058801E-001   0.000000000E+000
   0.18642065287288734E-007   0.821189135E-001   0.000000000E+000
   0.18672878618342104E-007   0.827279165E-001   0.000000000E+000
   0.18703691949395473E-007   0.774834305E-001   0.000000000E+000
   0.18734505280448843E-007   0.666547194E-001   0.000000000E+000
   0.18765318611502213E-007   0.509282723E-001   0.000000000E+000
   0.18796131942555583E-007   0.313747078E-001   0.000000000E+000
   0.18826945273608953E-007   0.938373245E-002   0.000000000E+000
   0.18857758604662322E-007  -0.134302750E-001   0.000000000E+000
   0.18888571935715692E-007  -0.353464484E-001   0.000000000E+000
   0.18919385266769062E-007  -0.546709634E-001   0.000000000E+000
   0.18950198597822432E-007  -0.698751584E-001   0.000000000E+000
   0.18981011928875802E-007  -0.797262713E-001   0.000000000E+000
   0.19011825259929171E-007  -0.833983943E-001   0.000000000E+000
   0.19042638590982541E-007  -0.805525184E-001   0.000000000E+000
   0.19073451922035911E-007  -0.713767782E-001   0.000000000E+000
   0.19104265253089281E-007  -0.565813817E-001   0.000000000E+000
   0.19135078584142651E-007  -0.373470895E-001   0.000000000E+000
   0.19165891915196021E-007  -0.152305029E-001   0.000000000E+000
   0.19196705246249390E-007   0.796607509E-002   0.000000000E+000
   0.19227518577302760E-007   0.303487368E-001   0.000000000E+000
   0.19258331908356130E-007   0.500958078E-001   0.000000000E+000
   0.19289145239409500E-007   0.656160787E-001   0.000000000E+000
   0.19319958570462870E-007   0.756863281E-001   0.000000000E+000
   0.19350771901516239E-007   0.795551091E-001   0.000000000E+000
   0.19381585232569609E-007   0.770030394E-001   0.000000000E+000
   0.19412398563622979E-007   0.683542415E-001   0.000000000E+000
   0.19443211894676349E-007   0.544385538E-001   0.000000000E+000
   0.19474025225729719E-007   0.365090147E-001   0.000000000E+000
   0.19504838556783088E-007   0.161234681E-001   0.000000000E+000
   0.19535651887836458E-007  -0.499753840E-002   0.000000000E+000
   0.19566465218889828E-007  -0.251224097E-001   0.000000000E+000
   0.19597278549943198E-007  -0.426552705E-001   0.000000000E+000
   0.19628091880996568E-007  -0.562645085E-001   0.000000000E+000
   0.19658905212049937E-007  -0.649822950E-001   0.000000000E+000
   0.19689718543103307E-007  -0.682677627E-001   0.000000000E+000
   0.19720531874156677E-007  -0.660305470E-001   0.000000000E+000
   0.19751345205210047E-007  -0.586154461E-001   0.000000000E+000
   0.19782158536263417E-007  -0.467525311E-001   0.000000000E+000
   0.19812971867316787E-007  -0.314799249E-001   0.000000000E+000
   0.19843785198370156E-007  -0.140481666E-001   0.000000000E+000
   0.19874598529423526E-007   0.418428890E-002   0.000000000E+000
   0.19905411860476896E-007   0.218552724E-001   0.000000000E+000
   0.19936225191530266E-007   0.376950055E-001   0.000000000E+000
   0.19967038522583636E-007   0.506081283E-001   0.000000000E+000
   0.19997851853637005E-007   0.597377680E-001   0.000000000E+000
   0.20028665184690375E-007   0.645098090E-001   0.000000000E+000
   0.20059478515743745E-007   0.646572188E-001   0.000000000E+000
   0.20090291846797115E-007   0.602254532E-001   0.000000000E+000
   0.20121105177850485E-007   0.515607037E-001   0.000000000E+000
   0.20151918508903854E-007   0.392829999E-001   0.000000000E+000
   0.20182731839957224E-007   0.242460649E-001   0.000000000E+000
   0.20213545171010594E-007   0.748573616E-002   0.000000000E+000
   0.20244358502063964E-007  -0.984137505E-002   0.000000000E+000
   0.20275171833117334E-007  -0.265271422E-001   0.000000000E+000
   0.20305985164170703E-007  -0.413867421E-001   0.000000000E+000
   0.20336798495224073E-007  -0.533360466E-001   0.000000000E+000
   0.20367611826277443E-007  -0.614675432E-001   0.000000000E+000
   0.20398425157330813E-007  -0.651199371E-001   0.000000000E+000
   0.20429238488384183E-007  -0.639359578E-001   0.000000000E+000
   0.20460051819437552E-007  -0.579026043E-001   0.000000000E+000
   0.20490865150490922E-007  -0.473687090E-001   0.000000000E+000
   0.20521678481544292E-007  -0.330357663E-001   0.000000000E+000
   0.20552491812597662E-007  -0.159200300E-001   0.000000000E+000
   0.20583305143651032E-007   0.271362811E-002   0.000000000E+000
   0.20614118474704402E-007   0.214427914E-001   0.000000000E+000
   0.20644931805757771E-007   0.387972891E-001   0.000000000E+000
   0.20675745136811141E-007   0.533790514E-001   0.000000000E+000
   0.20706558467864511E-007   0.639816076E-001   0.000000000E+000
   0.20737371798917881E-007   0.696980208E-001   0.000000000E+000
   0.20768185129971251E-007   0.700065941E-001   0.000000000E+000
   0.20798998461024620E-007   0.648251399E-001   0.000000000E+000
   0.20829811792077990E-007   0.545274317E-001   0.000000000E+000
   0.20860625123131360E-007   0.399190299E-001   0.000000000E+000
   0.20891438454184730E-007   0.221735910E-001   0.000000000E+000
   0.20922251785238100E-007   0.273480453E-002   0.000000000E+000
   0.20953065116291469E-007  -0.168072730E-001   0.000000000E+000
   0.20983878447344839E-007  -0.348540768E-001   0.000000000E+000
   0.21014691778398209E-007  -0.499376021E-001   0.000000000E+000
   0.21045505109451579E-007  -0.608474761E-001   0.000000000E+000
   0.21076318440504949E-007  -0.667340904E-001   0.000000000E+000
   0.21107131771558318E-007  -0.671782568E-001   0.000000000E+000
   0.21137945102611688E-007  -0.622212291E-001   0.000000000E+000
   0.21168758433665058E-007  -0.523530133E-001   0.000000000E+000
   0.21199571764718428E-007  -0.384609550E-001   0.000000000E+000
   0.21230385095771798E-007  -0.217444450E-001   0.000000000E+000
   0.21261198426825167E-007  -0.360473432E-002   0.000000000E+000
   0.21292011757878537E-007   0.144791566E-001   0.000000000E+000
   0.21322825088931907E-007   0.310765151E-001   0.000000000E+000
   0.21353638419985277E-007   0.449215025E-001   0.000000000E+000
   0.21384451751038647E-007   0.550102592E-001   0.000000000E+000
   0.21415265082092017E-007   0.606710576E-001   0.000000000E+000
   0.21446078413145386E-007   0.616030134E-001   0.000000000E+000
   0.21476891744198756E-007   0.578821637E-001   0.000000000E+000
   0.21507705075252126E-007   0.499368235E-001   0.000000000E+000
   0.21538518406305496E-007   0.384967029E-001   0.000000000E+000
   0.21569331737358866E-007   0.245222170E-001   0.000000000E+000
   0.21600145068412235E-007   0.912140682E-002   0.000000000E+000
   0.21630958399465605E-007  -0.653786585E-002   0.000000000E+000
   0.21661771730518975E-007  -0.213134438E-001   0.000000000E+000
   0.21692585061572345E-007  -0.341662429E-001   0.000000000E+000
   0.21723398392625715E-007  -0.442251116E-001   0.000000000E+000
   0.21754211723679084E-007  -0.508364551E-001   0.000000000E+000
   0.21785025054732454E-007  -0.535973534E-001   0.000000000E+000
   0.21815838385785824E-007  -0.523721911E-001   0.000000000E+000
   0.21846651716839194E-007  -0.472935215E-001   0.000000000E+000
   0.21877465047892564E-007  -0.387484655E-001   0.000000000E+000
   0.21908278378945933E-007  -0.273520853E-001   0.000000000E+000
   0.21939091709999303E-007  -0.139091173E-001   0.000000000E+000
   0.21969905041052673E-007   0.634434633E-003   0.000000000E+000
   0.22000718372106043E-007   0.152483294E-001   0.000000000E+000
   0.22031531703159413E-007   0.288818330E-001   0.000000000E+000
   0.22062345034212782E-007   0.405316986E-001   0.000000000E+000
   0.22093158365266152E-007   0.493111387E-001   0.000000000E+000
   0.22123971696319522E-007   0.545157567E-001   0.000000000E+000
   0.22154785027372892E-007   0.556816459E-001   0.000000000E+000
   0.22185598358426262E-007   0.526305512E-001   0.000000000E+000
   0.22216411689479632E-007   0.454970710E-001   0.000000000E+000
