t              SphereRCS.fdtd_Point probe_Ey_15_15_4.dat       incid
   0.11061985848159761E-007  -0.131732516E-002   0.000000000E+000
   0.11092799179213131E-007  -0.140997465E-002   0.000000000E+000
   0.11123612510266501E-007  -0.147978088E-002   0.000000000E+000
   0.11154425841319870E-007  -0.150793500E-002   0.000000000E+000
   0.11185239172373240E-007  -0.147222134E-002   0.000000000E+000
   0.11216052503426610E-007  -0.134937814E-002   0.000000000E+000
   0.11246865834479980E-007  -0.111871155E-002   0.000000000E+000
   0.11277679165533350E-007  -0.766495010E-003   0.000000000E+000
   0.11308492496586720E-007  -0.290418480E-003   0.000000000E+000
   0.11339305827640089E-007   0.296808052E-003   0.000000000E+000
   0.11370119158693459E-007   0.965576968E-003   0.000000000E+000
   0.11400932489746829E-007   0.166993029E-002   0.000000000E+000
   0.11431745820800199E-007   0.235087285E-002   0.000000000E+000
   0.11462559151853569E-007   0.294234022E-002   0.000000000E+000
   0.11493372482906938E-007   0.337921409E-002   0.000000000E+000
   0.11524185813960308E-007   0.360633689E-002   0.000000000E+000
   0.11554999145013678E-007   0.358718331E-002   0.000000000E+000
   0.11585812476067048E-007   0.331076328E-002   0.000000000E+000
   0.11616625807120418E-007   0.279547297E-002   0.000000000E+000
   0.11647439138173787E-007   0.208900543E-002   0.000000000E+000
   0.11678252469227157E-007   0.126400089E-002   0.000000000E+000
   0.11709065800280527E-007   0.409776054E-003   0.000000000E+000
   0.11739879131333897E-007  -0.378867611E-003   0.000000000E+000
   0.11770692462387267E-007  -0.101423077E-002   0.000000000E+000
   0.11801505793440636E-007  -0.142786140E-002   0.000000000E+000
   0.11832319124494006E-007  -0.158040319E-002   0.000000000E+000
   0.11863132455547376E-007  -0.146755902E-002   0.000000000E+000
   0.11893945786600746E-007  -0.112113799E-002   0.000000000E+000
   0.11924759117654116E-007  -0.604878995E-003   0.000000000E+000
   0.11955572448707485E-007  -0.555306906E-005   0.000000000E+000
   0.11986385779760855E-007   0.579400687E-003   0.000000000E+000
   0.12017199110814225E-007   0.105589360E-002   0.000000000E+000
   0.12048012441867595E-007   0.134675263E-002   0.000000000E+000
   0.12078825772920965E-007   0.140277587E-002   0.000000000E+000
   0.12109639103974335E-007   0.120959280E-002   0.000000000E+000
   0.12140452435027704E-007   0.789294019E-003   0.000000000E+000
   0.12171265766081074E-007   0.196610927E-003   0.000000000E+000
   0.12202079097134444E-007  -0.489722937E-003   0.000000000E+000
   0.12232892428187814E-007  -0.117904332E-002   0.000000000E+000
   0.12263705759241184E-007  -0.178234605E-002   0.000000000E+000
   0.12294519090294553E-007  -0.222527469E-002   0.000000000E+000
   0.12325332421347923E-007  -0.245850254E-002   0.000000000E+000
   0.12356145752401293E-007  -0.246396102E-002   0.000000000E+000
   0.12386959083454663E-007  -0.225605746E-002   0.000000000E+000
   0.12417772414508033E-007  -0.187784177E-002   0.000000000E+000
   0.12448585745561402E-007  -0.139289442E-002   0.000000000E+000
   0.12479399076614772E-007  -0.874374644E-003   0.000000000E+000
   0.12510212407668142E-007  -0.393080903E-003   0.000000000E+000
   0.12541025738721512E-007  -0.648305286E-005   0.000000000E+000
   0.12571839069774882E-007   0.249535107E-003   0.000000000E+000
   0.12602652400828251E-007   0.364984851E-003   0.000000000E+000
   0.12633465731881621E-007   0.355581928E-003   0.000000000E+000
   0.12664279062934991E-007   0.258264103E-003   0.000000000E+000
   0.12695092393988361E-007   0.123324542E-003   0.000000000E+000
   0.12725905725041731E-007   0.459610601E-005   0.000000000E+000
   0.12756719056095100E-007  -0.506049400E-004   0.000000000E+000
   0.12787532387148470E-007  -0.100831348E-004   0.000000000E+000
   0.12818345718201840E-007   0.137477080E-003   0.000000000E+000
   0.12849159049255210E-007   0.380479236E-003   0.000000000E+000
   0.12879972380308580E-007   0.686347950E-003   0.000000000E+000
   0.12910785711361950E-007   0.100701069E-002   0.000000000E+000
   0.12941599042415319E-007   0.128694833E-002   0.000000000E+000
   0.12972412373468689E-007   0.147245126E-002   0.000000000E+000
   0.13003225704522059E-007   0.152057409E-002   0.000000000E+000
   0.13034039035575429E-007   0.140637881E-002   0.000000000E+000
   0.13064852366628799E-007   0.112737832E-002   0.000000000E+000
   0.13095665697682168E-007   0.704565784E-003   0.000000000E+000
   0.13126479028735538E-007   0.179961789E-003   0.000000000E+000
   0.13157292359788908E-007  -0.388861692E-003   0.000000000E+000
   0.13188105690842278E-007  -0.936394383E-003   0.000000000E+000
   0.13218919021895648E-007  -0.139778526E-002   0.000000000E+000
   0.13249732352949017E-007  -0.171719235E-002   0.000000000E+000
   0.13280545684002387E-007  -0.185476046E-002   0.000000000E+000
   0.13311359015055757E-007  -0.179136137E-002   0.000000000E+000
   0.13342172346109127E-007  -0.153059396E-002   0.000000000E+000
   0.13372985677162497E-007  -0.109793607E-002   0.000000000E+000
   0.13403799008215866E-007  -0.537321670E-003   0.000000000E+000
   0.13434612339269236E-007   0.942883780E-004   0.000000000E+000
   0.13465425670322606E-007   0.733570603E-003   0.000000000E+000
   0.13496239001375976E-007   0.131789164E-002   0.000000000E+000
