t              pw-in-box.fdtd_inbox_Ex_3_3_3.dat       incid
   0.63629528625208653E-008  -0.208630894E-006   0.000000000E+000
   0.63783595280475502E-008  -0.209804114E-006   0.000000000E+000
   0.63937661935742351E-008  -0.202632563E-006   0.000000000E+000
   0.64091728591009200E-008  -0.201128174E-006   0.000000000E+000
   0.64245795246276050E-008  -0.206377493E-006   0.000000000E+000
   0.64399861901542899E-008  -0.207791473E-006   0.000000000E+000
   0.64553928556809748E-008  -0.207361907E-006   0.000000000E+000
   0.64707995212076597E-008  -0.208368490E-006   0.000000000E+000
   0.64862061867343446E-008  -0.205148666E-006   0.000000000E+000
   0.65016128522610295E-008  -0.201795174E-006   0.000000000E+000
   0.65170195177877144E-008  -0.206141451E-006   0.000000000E+000
   0.65324261833143993E-008  -0.209137895E-006   0.000000000E+000
   0.65478328488410842E-008  -0.204770203E-006   0.000000000E+000
   0.65632395143677691E-008  -0.205113864E-006   0.000000000E+000
   0.65786461798944540E-008  -0.210889112E-006   0.000000000E+000
   0.65940528454211389E-008  -0.207866947E-006   0.000000000E+000
   0.66094595109478238E-008  -0.200615673E-006   0.000000000E+000
   0.66248661764745087E-008  -0.203633576E-006   0.000000000E+000
   0.66402728420011936E-008  -0.209952134E-006   0.000000000E+000
   0.66556795075278785E-008  -0.208773301E-006   0.000000000E+000
   0.66710861730545634E-008  -0.206804728E-006   0.000000000E+000
   0.66864928385812483E-008  -0.207319175E-006   0.000000000E+000
   0.67018995041079332E-008  -0.204735898E-006   0.000000000E+000
   0.67173061696346181E-008  -0.203810842E-006   0.000000000E+000
