t              LineCurrent.fdtd_Point probe_Ex_50_25_30.dat
   0.16007872665228448E-007   0.251406307E+002
   0.16009413365196228E-007   0.250937614E+002
   0.16010954065164007E-007   0.250447502E+002
   0.16012494765131786E-007   0.249936600E+002
   0.16014035465099566E-007   0.249405499E+002
   0.16015576165067345E-007   0.248854275E+002
   0.16017116865035125E-007   0.248282413E+002
   0.16018657565002904E-007   0.247689190E+002
   0.16020198264970684E-007   0.247074375E+002
   0.16021738964938463E-007   0.246438599E+002
   0.16023279664906243E-007   0.245782948E+002
   0.16024820364874022E-007   0.245108013E+002
   0.16026361064841801E-007   0.244413319E+002
   0.16027901764809581E-007   0.243697701E+002
   0.16029442464777360E-007   0.242960377E+002
   0.16030983164745140E-007   0.242201920E+002
   0.16032523864712919E-007   0.241423817E+002
   0.16034064564680699E-007   0.240627308E+002
   0.16035605264648478E-007   0.239812202E+002
   0.16037145964616258E-007   0.238977146E+002
   0.16038686664584037E-007   0.238120995E+002
   0.16040227364551816E-007   0.237244034E+002
   0.16041768064519596E-007   0.236347942E+002
   0.16043308764487375E-007   0.235434265E+002
   0.16044849464455155E-007   0.234502945E+002
   0.16046390164422934E-007   0.233552418E+002
   0.16047930864390714E-007   0.232581196E+002
   0.16049471564358493E-007   0.231589432E+002
   0.16051012264326273E-007   0.230579033E+002
   0.16052552964294052E-007   0.229551983E+002
   0.16054093664261831E-007   0.228508606E+002
   0.16055634364229611E-007   0.227447262E+002
   0.16057175064197390E-007   0.226366043E+002
   0.16058715764165170E-007   0.225264835E+002
   0.16060256464132949E-007   0.224145603E+002
   0.16061797164100729E-007   0.223010616E+002
   0.16063337864068508E-007   0.221860390E+002
   0.16064878564036288E-007   0.220693302E+002
   0.16066419264004067E-007   0.219507351E+002
   0.16067959963971847E-007   0.218302326E+002
   0.16069500663939626E-007   0.217080154E+002
   0.16071041363907405E-007   0.215843220E+002
   0.16072582063875185E-007   0.214592190E+002
   0.16074122763842964E-007   0.213325481E+002
   0.16075663463810744E-007   0.212041035E+002
   0.16077204163778523E-007   0.210738449E+002
