t              WireAirBox.fdtd_Point probe A_Ez_50_50_25.dat       incid
   0.18426371969915145E-007  -0.165159381E-004   0.000000000E+000
   0.18457185300968515E-007   0.991558045E-005   0.000000000E+000
   0.18487998632021885E-007   0.283591271E-004   0.000000000E+000
   0.18518811963075255E-007   0.135123000E-004   0.000000000E+000
   0.18549625294128624E-007  -0.183210032E-004   0.000000000E+000
   0.18580438625181994E-007  -0.278098269E-004   0.000000000E+000
   0.18611251956235364E-007  -0.473008549E-005   0.000000000E+000
   0.18642065287288734E-007   0.198481102E-004   0.000000000E+000
   0.18672878618342104E-007   0.179404542E-004   0.000000000E+000
   0.18703691949395473E-007  -0.441415978E-006   0.000000000E+000
   0.18734505280448843E-007  -0.973194255E-005   0.000000000E+000
   0.18765318611502213E-007  -0.705030288E-005   0.000000000E+000
   0.18796131942555583E-007  -0.620317223E-005   0.000000000E+000
   0.18826945273608953E-007  -0.607537368E-005   0.000000000E+000
   0.18857758604662322E-007   0.613334214E-005   0.000000000E+000
   0.18888571935715692E-007   0.222394010E-004   0.000000000E+000
   0.18919385266769062E-007   0.150148398E-004   0.000000000E+000
   0.18950198597822432E-007  -0.171303509E-004   0.000000000E+000
   0.18981011928875802E-007  -0.352987845E-004   0.000000000E+000
   0.19011825259929171E-007  -0.106362786E-004   0.000000000E+000
   0.19042638590982541E-007   0.298204432E-004   0.000000000E+000
   0.19073451922035911E-007   0.351246272E-004   0.000000000E+000
   0.19104265253089281E-007  -0.718253432E-006   0.000000000E+000
   0.19135078584142651E-007  -0.316456753E-004   0.000000000E+000
   0.19165891915196021E-007  -0.231585509E-004   0.000000000E+000
   0.19196705246249390E-007   0.609839663E-005   0.000000000E+000
   0.19227518577302760E-007   0.190267292E-004   0.000000000E+000
   0.19258331908356130E-007   0.109238526E-004   0.000000000E+000
   0.19289145239409500E-007   0.248604283E-005   0.000000000E+000
   0.19319958570462870E-007  -0.606064077E-006   0.000000000E+000
   0.19350771901516239E-007  -0.980754703E-005   0.000000000E+000
   0.19381585232569609E-007  -0.204788048E-004   0.000000000E+000
   0.19412398563622979E-007  -0.103045704E-004   0.000000000E+000
   0.19443211894676349E-007   0.202088740E-004   0.000000000E+000
   0.19474025225729719E-007   0.347117821E-004   0.000000000E+000
   0.19504838556783088E-007   0.831365833E-005   0.000000000E+000
