t              AirBox.fdtd_Point probe A_Ex_25_50_13.dat       incid
   0.25051238146389654E-007  -0.876593258E-004   0.000000000E+000
   0.25082051477443024E-007  -0.237037355E-003   0.000000000E+000
   0.25112864808496393E-007  -0.195542729E-003   0.000000000E+000
   0.25143678139549763E-007   0.102835911E-004   0.000000000E+000
   0.25174491470603133E-007   0.213938896E-003   0.000000000E+000
   0.25205304801656503E-007   0.234563282E-003   0.000000000E+000
   0.25236118132709873E-007   0.459650764E-004   0.000000000E+000
   0.25266931463763243E-007  -0.182040749E-003   0.000000000E+000
   0.25297744794816612E-007  -0.240879017E-003   0.000000000E+000
   0.25328558125869982E-007  -0.864176982E-004   0.000000000E+000
   0.25359371456923352E-007   0.128903077E-003   0.000000000E+000
   0.25390184787976722E-007   0.217122724E-003   0.000000000E+000
   0.25420998119030092E-007   0.122792844E-003   0.000000000E+000
   0.25451811450083461E-007  -0.586612732E-004   0.000000000E+000
   0.25482624781136831E-007  -0.183019845E-003   0.000000000E+000
   0.25513438112190201E-007  -0.161735632E-003   0.000000000E+000
   0.25544251443243571E-007  -0.114815775E-004   0.000000000E+000
   0.25575064774296941E-007   0.152724926E-003   0.000000000E+000
   0.25605878105350310E-007   0.191232786E-003   0.000000000E+000
   0.25636691436403680E-007   0.602460932E-004   0.000000000E+000
   0.25667504767457050E-007  -0.127572028E-003   0.000000000E+000
   0.25698318098510420E-007  -0.196847497E-003   0.000000000E+000
   0.25729131429563790E-007  -0.847192787E-004   0.000000000E+000
   0.25759944760617159E-007   0.947851877E-004   0.000000000E+000
   0.25790758091670529E-007   0.173442313E-003   0.000000000E+000
   0.25821571422723899E-007   0.957394877E-004   0.000000000E+000
   0.25852384753777269E-007  -0.496739740E-004   0.000000000E+000
   0.25883198084830639E-007  -0.136760587E-003   0.000000000E+000
   0.25914011415884008E-007  -0.109080065E-003   0.000000000E+000
   0.25944824746937378E-007  -0.249492587E-007   0.000000000E+000
   0.25975638077990748E-007   0.105749627E-003   0.000000000E+000
   0.26006451409044118E-007   0.125112681E-003   0.000000000E+000
   0.26037264740097488E-007   0.353268988E-004   0.000000000E+000
   0.26068078071150858E-007  -0.910581439E-004   0.000000000E+000
   0.26098891402204227E-007  -0.135030859E-003   0.000000000E+000
   0.26129704733257597E-007  -0.485973433E-004   0.000000000E+000
   0.26160518064310967E-007   0.839295826E-004   0.000000000E+000
