t              AirBox.fdtd_Point probe A_Ez_25_50_13.dat       incid
   0.32138304288664710E-007   0.190906503E-004   0.000000000E+000
   0.32169117619718079E-007   0.702289344E-005   0.000000000E+000
   0.32199930950771449E-007  -0.632192678E-005   0.000000000E+000
   0.32230744281824819E-007  -0.944528983E-005   0.000000000E+000
   0.32261557612878189E-007  -0.689799526E-005   0.000000000E+000
   0.32292370943931559E-007  -0.382270582E-005   0.000000000E+000
   0.32323184274984929E-007   0.265095923E-005   0.000000000E+000
   0.32353997606038298E-007   0.117957679E-004   0.000000000E+000
   0.32384810937091668E-007   0.125879042E-004   0.000000000E+000
   0.32415624268145038E-007  -0.115617058E-005   0.000000000E+000
   0.32446437599198408E-007  -0.166681129E-004   0.000000000E+000
   0.32477250930251778E-007  -0.152199091E-004   0.000000000E+000
   0.32508064261305147E-007   0.289428590E-005   0.000000000E+000
   0.32538877592358517E-007   0.172609180E-004   0.000000000E+000
   0.32569690923411887E-007   0.127935582E-004   0.000000000E+000
   0.32600504254465257E-007  -0.297686893E-005   0.000000000E+000
   0.32631317585518627E-007  -0.122232123E-004   0.000000000E+000
   0.32662130916571996E-007  -0.872304918E-005   0.000000000E+000
   0.32692944247625366E-007  -0.453707798E-006   0.000000000E+000
   0.32723757578678736E-007   0.475307570E-005   0.000000000E+000
   0.32754570909732106E-007   0.679279765E-005   0.000000000E+000
   0.32785384240785476E-007   0.674938929E-005   0.000000000E+000
   0.32816197571838845E-007   0.197663940E-005   0.000000000E+000
   0.32847010902892215E-007  -0.737303526E-005   0.000000000E+000
   0.32877824233945585E-007  -0.126427240E-004   0.000000000E+000
   0.32908637564998955E-007  -0.528603505E-005   0.000000000E+000
   0.32939450896052325E-007   0.958997498E-005   0.000000000E+000
   0.32970264227105694E-007   0.157878585E-004   0.000000000E+000
   0.33001077558159064E-007   0.528647615E-005   0.000000000E+000
   0.33031890889212434E-007  -0.105035651E-004   0.000000000E+000
   0.33062704220265804E-007  -0.141111732E-004   0.000000000E+000
   0.33093517551319174E-007  -0.329126578E-005   0.000000000E+000
   0.33124330882372544E-007   0.798024394E-005   0.000000000E+000
   0.33155144213425913E-007   0.875906426E-005   0.000000000E+000
   0.33185957544479283E-007   0.292846244E-005   0.000000000E+000
   0.33216770875532653E-007  -0.907531557E-006   0.000000000E+000
