t              SphericalCavity.fdtd_Point probe_Ex_50_25_50.dat
   0.76540302845762298E-008  -0.226289512E-005
   0.76725182804326941E-008  -0.164659343E-005
   0.76910062762891584E-008  -0.967712936E-006
   0.77094942721456228E-008  -0.303184891E-006
   0.77279822680020871E-008   0.313010275E-006
   0.77464702638585514E-008   0.826040434E-006
   0.77649582597150157E-008   0.117098944E-005
   0.77834462555714801E-008   0.134516097E-005
   0.78019342514279444E-008   0.140801524E-005
   0.78204222472844087E-008   0.139861777E-005
   0.78389102431408730E-008   0.130929982E-005
   0.78573982389973374E-008   0.115746172E-005
   0.78758862348538017E-008   0.101789885E-005
   0.78943742307102660E-008   0.936685069E-006
   0.79128622265667303E-008   0.859189527E-006
   0.79313502224231947E-008   0.704766308E-006
   0.79498382182796590E-008   0.487406908E-006
   0.79683262141361233E-008   0.297701490E-006
   0.79868142099925876E-008   0.179261548E-006
   0.80053022058490519E-008   0.957786099E-007
   0.80237902017055163E-008   0.184610158E-007
   0.80422781975619806E-008  -0.411336210E-007
   0.80607661934184449E-008  -0.107686503E-006
   0.80792541892749092E-008  -0.258938996E-006
   0.80977421851313736E-008  -0.510713676E-006
   0.81162301809878379E-008  -0.758180477E-006
   0.81347181768443022E-008  -0.899416591E-006
   0.81532061727007665E-008  -0.961855676E-006
   0.81716941685572309E-008  -0.103510570E-005
   0.81901821644136952E-008  -0.112359533E-005
   0.82086701602701595E-008  -0.114676970E-005
   0.82271581561266238E-008  -0.106499328E-005
   0.82456461519830881E-008  -0.931933869E-006
   0.82641341478395525E-008  -0.824445351E-006
   0.82826221436960168E-008  -0.779707307E-006
   0.83011101395524811E-008  -0.806576509E-006
   0.83195981354089454E-008  -0.903412285E-006
   0.83380861312654098E-008  -0.103874061E-005
   0.83565741271218741E-008  -0.114867953E-005
   0.83750621229783384E-008  -0.118812329E-005
   0.83935501188348027E-008  -0.117456614E-005
   0.84120381146912671E-008  -0.115420255E-005
   0.84305261105477314E-008  -0.112818157E-005
   0.84490141064041957E-008  -0.104367564E-005
   0.84675021022606600E-008  -0.865898187E-006
   0.84859900981171243E-008  -0.621197842E-006
   0.85044780939735887E-008  -0.340361169E-006
   0.85229660898300530E-008   0.319883497E-008
   0.85414540856865173E-008   0.442513937E-006
   0.85599420815429816E-008   0.923803441E-006
   0.85784300773994460E-008   0.133874755E-005
   0.85969180732559103E-008   0.166104655E-005
   0.86154060691123746E-008   0.197698432E-005
   0.86338940649688389E-008   0.234506138E-005
   0.86523820608253033E-008   0.269160387E-005
   0.86708700566817676E-008   0.290081221E-005
   0.86893580525382319E-008   0.295527411E-005
   0.87078460483946962E-008   0.291721358E-005
