t              SphereRCS.fdtd_Point probe_Ez_50_50_13.dat       incid
   0.11185239172373240E-007  -0.146325212E-003   0.000000000E+000
   0.11216052503426610E-007  -0.155210189E-003   0.000000000E+000
   0.11246865834479980E-007  -0.157370552E-003   0.000000000E+000
   0.11277679165533350E-007  -0.186109712E-003   0.000000000E+000
   0.11308492496586720E-007  -0.218364366E-003   0.000000000E+000
   0.11339305827640089E-007  -0.190512481E-003   0.000000000E+000
   0.11370119158693459E-007  -0.952527407E-004   0.000000000E+000
   0.11400932489746829E-007  -0.903980253E-005   0.000000000E+000
   0.11431745820800199E-007   0.332271429E-005   0.000000000E+000
   0.11462559151853569E-007  -0.270769233E-004   0.000000000E+000
   0.11493372482906938E-007  -0.222556228E-004   0.000000000E+000
   0.11524185813960308E-007   0.334485885E-004   0.000000000E+000
   0.11554999145013678E-007   0.812620929E-004   0.000000000E+000
   0.11585812476067048E-007   0.800112321E-004   0.000000000E+000
   0.11616625807120418E-007   0.573568723E-004   0.000000000E+000
   0.11647439138173787E-007   0.517198350E-004   0.000000000E+000
   0.11678252469227157E-007   0.514408821E-004   0.000000000E+000
   0.11709065800280527E-007   0.305659087E-004   0.000000000E+000
   0.11739879131333897E-007   0.119022552E-004   0.000000000E+000
   0.11770692462387267E-007   0.413441958E-004   0.000000000E+000
   0.11801505793440636E-007   0.109025510E-003   0.000000000E+000
   0.11832319124494006E-007   0.148675404E-003   0.000000000E+000
   0.11863132455547376E-007   0.126522267E-003   0.000000000E+000
   0.11893945786600746E-007   0.882352615E-004   0.000000000E+000
   0.11924759117654116E-007   0.932860567E-004   0.000000000E+000
   0.11955572448707485E-007   0.133394846E-003   0.000000000E+000
   0.11986385779760855E-007   0.149797474E-003   0.000000000E+000
   0.12017199110814225E-007   0.114773313E-003   0.000000000E+000
   0.12048012441867595E-007   0.568636970E-004   0.000000000E+000
   0.12078825772920965E-007   0.668250868E-005   0.000000000E+000
   0.12109639103974335E-007  -0.407940315E-004   0.000000000E+000
   0.12140452435027704E-007  -0.932616604E-004   0.000000000E+000
   0.12171265766081074E-007  -0.126247178E-003   0.000000000E+000
